data;pibinfl
2011/01;861500.0069
2011/02;857758.2081
2011/03;885382.0936
2011/04;883978.1069
2011/05;927492.2042
2011/06;940616.3316
2011/07;946655.9272
2011/08;950031.0269
2011/09;905284.0314
2011/10;943491.6159
2011/11;966958.7889
2011/12;973563.6247
2012/01;910228.7275
2012/02;909493.5237
2012/03;968057.1528
2012/04;931009.0491
2012/05;967251.8402
2012/06;956889.6691
2012/07;980199.5306
2012/08;980036.7795
2012/09;910450.5104
2012/10;980973.4521
2012/11;981170.1139
2012/12;973321.2236
2013/01;949555.6615
2013/02;912236.5308
2013/03;975084.8624
2013/04;1001768.469
2013/05;999011.748
2013/06;1000031.337
2013/07;1033820.519
2013/08;1016496.879
2013/09;971664.8023
2013/10;1025911.568
2013/11;1022043.117
2013/12;1032178.519
2014/01;989788.1223
2014/02;969489.6936
2014/03;980342.7681
2014/04;989894.7934
2014/05;1004132.381
2014/06;978875.0614
2014/07;1034691.061
2014/08;1023438.726
2014/09;1022109.221
2014/10;1051865.023
2014/11;1031957.644
2014/12;1049815.677
2015/01;986609.3629
2015/02;954886.8377
2015/03;1028726.742
2015/04;988637.2075
2015/05;977839.9266
2015/06;978060.6031
2015/07;1003622.658
2015/08;980167.7868
2015/09;973277.3286
2015/10;1000472.71
2015/11;979115.0739
2015/12;990168.0401
2016/01;916115.5146
2016/02;910289.6361
2016/03;954325.6642
2016/04;934441.4815
2016/05;933456.7386
2016/06;959948.897
2016/07;957383.1945
2016/08;956489.9486
2016/09;911863.912
2016/10;937784.6909
2016/11;966494.2075
2016/12;1001451.15
2017/01;928026.0077
2017/02;905524.7328
2017/03;962337.2991
2017/04;940298.3183
2017/05;987697.5017
2017/06;1011633.652
2017/07;1015851.413
2017/08;1010015.854
2017/09;955549.9161
2017/10;991501.3265
2017/11;1013883.073
2017/12;1046741.683
2018/01;981983.1119
2018/02;933292.5473
2018/03;982845.3415
2018/04;972509.9032
2018/05;935695.3295
2018/06;978842.1582
2018/07;978469.2624
2018/08;971394.8802
2018/09;911781.0164
2018/10;966892.3908
2018/11;981271.6362
2018/12;1001026.308
2019/01;959372.5092
2019/02;930364.173
2019/03;938618.3011
2019/04;952288.7722
2019/05;967198.7076
2019/06;951081.1696
2019/07;996890.5518
2019/08;984562.6772
2019/09;976501.7324
2019/10;1014098.155
2019/11;995337.0119
2019/12;996047.8801
2020/01;951095.0333
2020/02;938763.6259
2020/03;933455.9388
2020/04;840730.736
2020/05;841171.9574
2020/06;872001.4994
2020/07;907047.5109
2020/08;866891.0984
2020/09;852792.6394
2020/10;856032.566
2020/11;839158.4152
2020/12;857700.7457
2021/01;795434.9651
2021/02;801094.6131
2021/03;853337.4948
2021/04;809473.5635
2021/05;781209.7333
2021/06;783363.3896
2021/07;802658.2756
2021/08;801080.4386
2021/09;811084.9286
2021/10;808561.5917
2021/11;830766.0417
2021/12;832477.2245
2022/01;753585.4494
2022/02;774514.6799
2022/03;841586.4867
2022/04;818998.8249
2022/05;819660.6059
2022/06;814544.823
2022/07;844223.4531
2022/08;850009.2951
2022/09;843126.4604
2022/10;890084.0025
2022/11;893236.9913
2022/12;894935.309
2023/01;822537.9262
2023/02;840845.9695
2023/03;952804.1546
2023/04;927674.8248
2023/05;948305.5444
2023/06;951470.9841
2023/07;975078.9074
2023/08;987278.3604
2023/09;964309.4749
2023/10;999298.438
2023/11;1001375.998
2023/12;993800.3073
2024/01;932574.7845
2024/02;948326.2598
2024/03;1020577.589
2024/04;1038907.824
2024/05;1000481.959
2024/06;1004674.062
2024/07;1035731.17
2024/08;1019117.602
2024/09;1003103.127
2024/10;1031035.1
